date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand
2020-01-01,0,0,0,0,0,0,0,0,,,,,,
2020-01-02,0,0,0,0,0,0,0,0,,,,,,
2020-01-03,0,0,0,0,0,0,0,0,,,,,,
2020-01-04,0,0,0,0,0,0,0,0,,,,,,
2020-01-05,0,0,0,0,0,0,0,0,,,,,,
2020-01-06,0,0,0,0,0,0,0,0,,,,,,
2020-01-07,0,0,0,0,0,0,0,0,,,,,,
2020-01-08,0,0,0,0,0,0,0,0,,,,,,
2020-01-09,0,0,0,0,0,0,0,0,,,,,,
2020-01-10,0,0,0,0,0,0,0,0,,,,,,
2020-01-11,0,0,0,0,0,0,0,0,,,,,,
2020-01-12,0,0,0,0,0,0,0,0,,,,,,
2020-01-13,0,0,0,0,0,0,0,0,,,,,,
2020-01-14,0,0,0,0,0,0,0,0,,,,,,
2020-01-15,0,0,0,0,0,0,0,0,,,,,,
2020-01-16,0,0,0,0,0,0,0,0,,,,,,
2020-01-17,0,0,0,0,0,0,0,0,,,,,,
2020-01-18,0,0,0,0,0,0,0,0,,,,,,
2020-01-19,0,0,0,0,0,0,0,0,,,,,,
2020-01-20,0,0,0,0,0,0,0,0,,,,,,
2020-01-21,1,1,0,0,0.003,0.003,0,0,,,,,,
2020-01-22,1,0,0,0,0.003,0,0,0,,,,,,
2020-01-23,1,0,0,0,0.003,0,0,0,,,,,,
2020-01-24,1,0,0,0,0.003,0,0,0,,,,,,
2020-01-25,2,1,0,0,0.006,0.003,0,0,,,,,,
2020-01-26,2,0,0,0,0.006,0,0,0,,,,,,
2020-01-27,5,3,0,0,0.015,0.009,0,0,,,,,,
2020-01-28,5,0,0,0,0.015,0,0,0,,,,,,
2020-01-29,5,0,0,0,0.015,0,0,0,,,,,,
2020-01-30,5,0,0,0,0.015,0,0,0,,,,,,
2020-01-31,6,1,0,0,0.018,0.003,0,0,,,,,,
2020-02-01,7,1,0,0,0.021,0.003,0,0,,,,,,
2020-02-02,8,1,0,0,0.024,0.003,0,0,,,,,,
